id,english_word,persian_translation,example_sentence,persian_example,phonetic,category,level,created_at,last_reviewed,next_review,ease_factor,repetition,interval,is_favorite
1,a,یک,"I saw a cat in the garden.","من یک گربه در باغ دیدم.","/eɪ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.1,0,1,False
2,a.m.,قبل از ظهر,"The meeting is at 10 a.m.","جلسه ساعت 10 قبل از ظهر است.","/ˌeɪˈem/","زمان","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
3,abandon,رها کردن,"They had to abandon the sinking ship.","آنها مجبور شدند کشتی در حال غرق شدن را رها کنند.","/əˈbæn.dən/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
4,abandoned,رها شده,"We explored an abandoned factory.","ما یک کارخانه رها شده را کاوش کردیم.","/əˈbæn.dənd/","مکان","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
5,ability,توانایی,"She has the ability to solve complex problems.","او توانایی حل مسائل پیچیده را دارد.","/əˈbɪl.ə.ti/","مهارت‌ها","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
6,able,قادر,"Will you be able to come tomorrow?","آیا فردا قادر به آمدن خواهی بود؟","/ˈeɪ.bəl/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
7,abnormal,غیرعادی,"Such behavior is abnormal for a child his age.","چنین رفتاری برای یک کودک در سن او غیرعادی است.","/æbˈnɔː.məl/","روانشناسی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
8,abnormally,به طور غیرعادی,"The weather is abnormally hot for October.","هوا برای ماه اکتبر به طور غیرعادی گرم است.","/æbˈnɔː.məl.i/","طبیعت","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
9,aboard,سوار,"All passengers aboard the train please sit down.","تمام مسافران سوار قطار لطفاً بنشینید.","/əˈbɔːd/","سفر","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
10,abolish,لغو کردن,"The government decided to abolish the old law.","دولت تصمیم گرفت قانون قدیمی را لغو کند.","/əˈbɒl.ɪʃ/","قانون","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
11,aboriginal,بومی,"The aboriginal people of Australia are called Indigenous Australians.","مردم بومی استرالیا، بومیان استرالیا نامیده می‌شوند.","/ˌæb.əˈrɪdʒ.ən.əl/","فرهنگ","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.4,0,1,False
12,aborigine,بومی,"The aborigines have lived here for thousands of years.","بومیان هزاران سال است که اینجا زندگی می‌کنند.","/ˌæb.əˈrɪdʒ.ən.i/","فرهنگ","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
13,about,درباره,"What are you talking about?","درباره چه چیزی صحبت می‌کنید؟","/əˈbaʊt/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.2,0,1,False
14,above,بالا,"The picture hangs above the fireplace.","تصویر بالای شومینه آویزان است.","/əˈbʌv/","مکان","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
15,abroad,خارج از کشور,"She's studying abroad this semester.","او این ترم در خارج از کشور درس می‌خواند.","/əˈbrɔːd/","سفر","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
16,abruptly,ناگهانی,"He left abruptly without saying goodbye.","او ناگهانی و بدون خداحافظی رفت.","/əˈbrʌpt.li/","رفتار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
17,absence,غیبت,"Her absence from work was noticed by everyone.","غیبت او از کار توسط همه مورد توجه قرار گرفت.","/ˈæb.səns/","کار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
18,absent,غایب,"Three students were absent today.","سه دانش‌آموز امروز غایب بودند.","/ˈæb.sənt/","آموزش","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
19,absentee,غایب,"The teacher marked him as an absentee.","معلم او را به عنوان غایب علامت زد.","/ˌæb.sənˈtiː/","آموزش","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
20,absolute,مطلق,"She has absolute trust in her doctor.","او اعتماد مطلق به پزشک خود دارد.","/ˈæb.sə.luːt/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
21,absolutely,کاملاً,"I absolutely agree with your decision.","من کاملاً با تصمیم شما موافقم.","/ˌæb.səˈluːt.li/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
22,absorb,جذب کردن,"The sponge absorbed all the water.","اسفنج تمام آب را جذب کرد.","/əbˈzɔːb/","علمی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
23,abstract,انتزاعی,"Modern art is often very abstract.","هنر مدرن اغلب بسیار انتزاعی است.","/ˈæb.strækt/","هنر","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
24,absurd,پوچ,"It's absurd to believe that the earth is flat.","باور به مسطح بودن زمین پوچ است.","/əbˈsɜːd/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
25,abundance,فراوانی,"There was an abundance of food at the party.","در مهمانی غذا به فراوانی وجود داشت.","/əˈbʌn.dəns/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
26,abundant,فراوان,"Fruits are abundant in this season.","در این فصل میوه فراوان است.","/əˈbʌn.dənt/","طبیعت","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
27,abuse,سوء استفاده,"Child abuse is a serious crime.","سوء استفاده از کودکان جرمی جدی است.","/əˈbjuːs/","اجتماعی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.4,0,1,False
28,academic,آکادمیک,"She has a brilliant academic career.","او دارای سابقه آکادمیک درخشانی است.","/ˌæk.əˈdem.ɪk/","آموزش","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
29,academy,آکادمی,"He graduated from a military academy.","او از یک آکادمی نظامی فارغ‌التحصیل شد.","/əˈkæd.ə.mi/","آموزش","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
30,accent,لهجه,"She speaks English with a French accent.","او انگلیسی را با لهجه فرانسوی صحبت می‌کند.","/ˈæk.sent/","زبان","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
31,accept,پذیرفتن,"I accept your apology.","من عذرخواهی شما را می‌پذیرم.","/əkˈsept/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
32,acceptable,قابل قبول,"Your work is acceptable, but could be better.","کار شما قابل قبول است، اما می‌تواند بهتر باشد.","/əkˈsep.tə.bəl/","کار","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
33,acceptance,پذیرش,"The book gained wide acceptance among readers.","کتاب پذیرش گسترده‌ای در میان خوانندگان به دست آورد.","/əkˈsep.təns/","اجتماعی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
34,access,دسترسی,"Students have access to the library.","دانشجویان به کتابخانه دسترسی دارند.","/ˈæk.ses/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
35,accessibility,دسترس‌پذیری,"The new building has improved accessibility for disabled people.","ساختمان جدید دسترس‌پذیری بهتری برای افراد معلول دارد.","/əkˌses.əˈbɪl.ə.ti/","اجتماعی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
36,accessible,قابل دسترس,"The museum is accessible by public transport.","موزه با وسایل حمل و نقل عمومی قابل دسترس است.","/əkˈses.ə.bəl/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
37,accessory,لوازم جانبی,"She bought a matching accessory for her dress.","او یک لوازم جانبی ست برای لباسش خرید.","/əkˈses.ər.i/","مد","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
38,accident,حادثه,"He had a car accident yesterday.","او دیروز یک حادثه رانندگی داشت.","/ˈæk.sɪ.dənt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
39,accidental,تصادفی,"Our meeting was completely accidental.","ملاقات ما کاملاً تصادفی بود.","/ˌæk.sɪˈden.təl/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
40,accidentally,به طور تصادفی,"I accidentally deleted the important file.","من به طور تصادفی فایل مهم را پاک کردم.","/ˌæk.sɪˈden.təl.i/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
41,accommodation,اسکان,"We found comfortable accommodation in the city center.","ما اسکان راحتی در مرکز شهر پیدا کردیم.","/əˌkɒm.əˈdeɪ.ʃən/","سفر","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
42,accompany,همراهی کردن,"Would you like me to accompany you to the hospital?","دوست داری من تو را تا بیمارستان همراهی کنم؟","/əˈkʌm.pə.ni/","اجتماعی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
43,accomplish,انجام دادن,"We accomplished our mission successfully.","ما مأموریت خود را با موفقیت انجام دادیم.","/əˈkʌm.plɪʃ/","کار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
44,according to,بر اساس,"According to the weather forecast, it will rain tomorrow.","بر اساس پیش‌بینی هوا، فردا باران می‌بارد.","/əˈkɔː.dɪŋ ˌtuː/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
45,accordingly,بر همان اساس,"The rules have changed, and we must act accordingly.","قوانین تغییر کرده‌اند و ما باید بر همان اساس عمل کنیم.","/əˈkɔː.dɪŋ.li/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
46,account,حساب,"I need to check my bank account balance.","من باید موجودی حساب بانکی خود را بررسی کنم.","/əˈkaʊnt/","مالی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
47,account,توضیح,"He gave a detailed account of the incident.","او توضیح مفصلی از حادثه داد.","/əˈkaʊnt/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
48,accountant,حسابدار,"The company hired a new accountant.","شرکت یک حسابدار جدید استخدام کرد.","/əˈkaʊn.tənt/","شغل","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
49,accumulate,جمع آوری کردن,"Dust had accumulated on the furniture.","گرد و غبار روی مبلمان جمع شده بود.","/əˈkjuː.mjə.leɪt/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
50,accuracy,دقت,"The accuracy of his calculations was impressive.","دقت محاسبات او چشمگیر بود.","/ˈæk.jə.rə.si/","علمی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
51,accurate,دقیق,"Please provide accurate information.","لطفاً اطلاعات دقیق ارائه دهید.","/ˈæk.jə.rət/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
52,accurately,به طور دقیق,"The machine measures temperature very accurately.","دستگاه دما را به طور بسیار دقیق اندازه‌گیری می‌کند.","/ˈæk.jə.rət.li/","علمی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
53,accusation,اتهام,"He denied the accusation of theft.","او اتهام دزدی را رد کرد.","/ˌæk.jəˈzeɪ.ʃən/","قانون","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
54,accuse,متهم کردن,"She accused him of lying.","او او را به دروغگویی متهم کرد.","/əˈkjuːz/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
55,accustom,عادت دادن,"It took time to accustom myself to the new environment.","عادت کردن به محیط جدید برای من زمان برد.","/əˈkʌs.təm/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
56,ache,درد,"I have a headache after working all day.","بعد از تمام روز کار کردن سردرد دارم.","/eɪk/","سلامتی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
57,achievable,قابل دستیابی,"The goals you've set are challenging but achievable.","اهدافی که تعیین کرده‌ای چالش‌برانگیز اما قابل دستیابی هستند.","/əˈtʃiː.və.bəl/","کار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
58,achieve,دستیابی,"She achieved her dream of becoming a doctor.","او به رویای پزشک شدن دست یافت.","/əˈtʃiːv/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
59,achievement,دستاورد,"Winning the award was her greatest achievement.","برنده شدن جایزه بزرگترین دستاورد او بود.","/əˈtʃiːv.mənt/","کار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
60,acid,اسید,"The acid burned a hole in the metal.","اسید سوراخی در فلز سوزاند.","/ˈæs.ɪd/","علمی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
61,acknowledge,تایید کردن,"He acknowledged his mistake immediately.","او بلافاصله اشتباه خود را تایید کرد.","/əkˈnɒl.ɪdʒ/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
62,acknowledgment,تصدیق,"She received an acknowledgment for her hard work.","او برای سختکوشی‌اش یک تصدیق دریافت کرد.","/əkˈnɒl.ɪdʒ.mənt/","کار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
63,acquaintance,آشنا,"He's just a business acquaintance, not a close friend.","او فقط یک آشنا در کسب‌وکار است، نه یک دوست صمیمی.","/əˈkweɪn.təns/","اجتماعی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
64,acquire,کسب کردن,"The company acquired three new businesses last year.","شرکت سال گذشته سه کسب‌وکار جدید کسب کرد.","/əˈkwaɪər/","کسب‌وکار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
65,acquisition,اکتساب,"The museum's new acquisition is a Picasso painting.","اکتساب جدید موزه یک نقاشی پیکاسو است.","/ˌæk.wɪˈzɪʃ.ən/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
66,across,در سراسر,"There are bridges across the river.","پل‌هایی در سراسر رودخانه وجود دارد.","/əˈkrɒs/","مکان","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
67,act,عمل کردن,"You need to act quickly in emergencies.","در مواقع اضطراری باید سریع عمل کنید.","/ækt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
68,act,بازی کردن,"He acted in many famous movies.","او در بسیاری از فیلم‌های معروف بازی کرده است.","/ækt/","سرگرمی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
69,action,اقدام,"The government must take action against pollution.","دولت باید علیه آلودگی اقدام کند.","/ˈæk.ʃən/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
70,active,فعال,"She maintains an active lifestyle.","او یک سبک زندگی فعال دارد.","/ˈæk.tɪv/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
